GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
weatherapp_service,edu.westga.weatherapp_service.model,OpenWeatherIconRetriever,0,31,0,4,0,8,0,4,0,2
weatherapp_service,edu.westga.weatherapp_service.model,APIDataRetriever,8,112,0,12,4,27,0,9,0,3
weatherapp_service,edu.westga.weatherapp_service.model,OpenWeatherDailyDataRetriever,0,349,0,56,0,71,0,36,0,8
weatherapp_service,edu.westga.weatherapp_service.model,WeatherLocationSearcher.new Comparator() {...},0,41,0,0,0,3,0,2,0,2
weatherapp_service,edu.westga.weatherapp_service.model,OpenWeatherCurrentDataRetriever,0,289,0,40,0,63,0,28,0,8
weatherapp_service,edu.westga.weatherapp_service.model,OpenWeatherSevereWarningsRetriever,0,103,0,14,0,18,0,10,0,3
weatherapp_service,edu.westga.weatherapp_service.model,WeatherLocationSearcher,31,268,1,15,12,63,1,15,0,8
weatherapp_service,edu.westga.weatherapp_service.model,OpenWeatherMapRadarDataRetriever,6,35,0,2,3,12,0,4,0,3
weatherapp_service,edu.westga.weatherapp_service.model,OpenWeatherHourlyDataRetriever,0,305,0,40,0,63,0,28,0,8
weatherapp_service,edu.westga.weatherapp_service.resources,ServiceConstants,3,0,0,0,1,0,1,0,1,0
weatherapp_service,edu.westga.weatherapp_service,App,77,0,0,0,20,0,2,0,2,0
